condition,workflow,runs,accuracy,correct,total_tokens,input_tokens,output_tokens,reasoning_tokens,cost_usd,accuracy_per_dollar,accuracy_per_million_tokens,contract_valid_rate,avg_wall_time_ms
debate-3-answer,debate,43,0.023255813953488372,1,230037,129978,100059,0,0.15106935000000002,6.6194764192736635,4.3471267665636395,0.3953488372093023,7948.27896995361
debate-3-full,debate,30,0.0,0,0,0,0,0,0.0,,,0.0,54.355113833359304
sample-3,independent_sample,60,0.0,0,94283,27132,67151,0,0.08936515,0.0,0.0,0.18333333333333332,3702.3054888501365
sample-6,independent_sample,30,0.0,0,0,0,0,0,0.0,,,0.0,100.91324456661823
solo,solo,67,0.014925373134328358,1,34863,10121,24742,0,0.0329517,30.34744793136621,28.68370478731033,0.5522388059701493,2915.2859981342717
